elapsedSeconds,label,totalPssKb,totalRssKb,nativeHeapKb,javaHeapKb,graphicsKb,eglKb,glMtrackKb,webViews,mapInstances,canvasCount,webglContexts,styleLoads,sourceCreations,layerCreations,sourceUpdates,radarImageUpdates,product,radarFrameId,cameraMode
0,start,529933,584528,62196,15396,316260,mtrack,mtrack,1,1,1,1,2,8,10,2687,607,REF,KSGF20260729_212245_V06-REF,FOLLOW_HEADING
12,t0,690952,748088,65180,13100,465780,mtrack,mtrack,1,1,1,1,3,12,15,2702,610,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
300,t300,667127,716124,62232,14364,452332,mtrack,mtrack,1,1,1,1,27,108,135,3155,706,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
600,t600,666473,707168,59156,14196,453496,mtrack,mtrack,1,1,1,1,52,208,260,3626,806,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
903,t900,559322,594400,58148,13180,352744,mtrack,mtrack,1,1,1,1,77,308,385,4091,906,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
1202,t1200,679048,715436,58256,13108,468184,mtrack,mtrack,1,1,1,1,102,408,510,4566,1006,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
1501,t1500,679981,717076,57952,12456,466276,mtrack,mtrack,1,1,1,1,127,508,635,5042,1106,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
1804,t1800,547360,578993,57136,13828,341061,mtrack,mtrack,1,1,1,1,152,608,760,5536,1206,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
1800,t1800-final,541536,573277,57168,11528,337205,mtrack,mtrack,1,1,1,1,152,608,760,5536,1206,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
1920,idle-plus-120s,514111,546236,57700,13580,307256,mtrack,mtrack,1,1,1,1,152,608,760,5587,1206,CC,KSGF20260729_212754_V06-CC,FOLLOW_HEADING
