sample,totalPssKb,totalRssKb,javaHeapKb,nativeHeapKb,graphicsKb,eglKb,glMtrackKb
stress-start-expanded,637888,773053,17916,87704,386857,12969,373888
after-ref-100-loops,659557,794784,13536,89028,411644,13432,398212
after-vel-50-loops,682292,817524,17408,89172,427364,13432,413932
after-srv-50-loops,670726,805968,15508,89172,419536,13432,406104
after-cc-50-loops,674553,809776,15460,88988,425796,13432,412364
after-100-manual-next,662961,798164,16556,88816,414104,13432,400672
after-50-product-changes,686279,821668,16204,88964,437976,13432,424544
after-50-expanded-cycles,644576,778372,17132,103656,389672,13432,376240
after-20-background-resume,686633,772052,13880,76144,459532,13432,446100
after-return-latest,631856,717508,11332,75608,408132,13432,394700
after-2-min-idle,614927,701512,13308,75892,390396,13432,376964
